# CoordinateSystem: LOCAL_CS["Local Coordinates (m)",LOCAL_DATUM["Local Datum",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]]]
#Label,X,Y,Z,X_est,Y_est,Z_est
target 1,,,,0.014933,-0.014921,-0.025759
target 2,,,,-0.015466,0.014904,-0.025566
target 3,,,,-0.019961,0.010348,-0.012777
target 4,,,,-0.019855,-0.011275,-0.013019
target 5,,,,0.020123,-0.010851,-0.012601
target 6,,,,0.020058,0.010769,-0.013119
target 7,,,,0.011356,-0.020165,-0.013221
target 8,,,,-0.010252,-0.020310,-0.013067
target 9,-0.015000,0.015000,0.000000,-0.015046,0.015144,0.000019
target 10,0.015000,0.015000,0.000000,0.014991,0.015136,-0.000019
target 11,0.015000,-0.015000,0.000000,0.014949,-0.015190,0.000019
target 12,-0.015000,-0.015000,0.000000,-0.014895,-0.015090,-0.000019
target 21,,,,-0.011906,0.019735,-0.012950
target 22,,,,0.009710,0.019784,-0.012171
target 23,,,,-0.015021,-0.015109,-0.025639
target 24,,,,0.015056,0.015100,-0.025702
