# CoordinateSystem: LOCAL_CS["Local Coordinates (m)",LOCAL_DATUM["Local Datum",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]]]
#Label,X,Y,Z,X_est,Y_est,Z_est
target 1,-0.2500000,0.2500000,0.0000000,-0.2320445,0.2349368,-0.0025197
target 2,,,,0.2611960,-0.1893884,0.0033129
target 3,,,,0.1893576,0.0639969,0.0452029
target 4,,,,0.0015349,-0.2343472,-0.0015232
target 5,,,,0.0367252,0.0636939,0.0461819
target 6,,,,0.1121944,-0.1893463,0.0492261
target 7,,,,-0.2619409,0.0660672,0.0032047
target 8,,,,-0.1916640,-0.1909232,0.0510821
target 10,-0.2500000,-0.2500000,0.0000000,-0.2312062,-0.2347126,0.0025263
target 11,0.2500000,-0.2500000,0.0000000,0.2314301,-0.2350126,-0.0025255
target 12,0.2500000,0.2500000,0.0000000,0.2318204,0.2347883,0.0025189
target 14,,,,-0.1131935,0.0640779,0.0457245
target 16,,,,-0.0363172,-0.1903555,0.0512774
target 22,,,,0.2622243,0.0608052,0.0041875
target 23,,,,-0.0051037,0.2346676,0.0025188
