# CoordinateSystem: LOCAL_CS["Local Coordinates (m)",LOCAL_DATUM["Local Datum",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]]]
#Label,X,Y,Z,X_est,Y_est,Z_est
target 1,-0.2500000,0.2500000,0.0000000,-0.2330537,0.2355564,-0.0026131
target 2,,,,0.2620817,-0.1901421,0.0034616
target 3,,,,0.1902411,0.0642536,0.0454680
target 4,,,,0.0015056,-0.2353165,-0.0017799
target 5,,,,0.0368159,0.0637075,0.0462459
target 6,,,,0.1124886,-0.1907677,0.0491863
target 7,,,,-0.2630802,0.0660659,0.0030780
target 8,,,,-0.1929313,-0.1926446,0.0503596
target 10,-0.2500000,-0.2500000,0.0000000,-0.2323548,-0.2352923,0.0026175
target 11,0.2500000,-0.2500000,0.0000000,0.2326207,-0.2357221,-0.0026161
target 12,0.2500000,0.2500000,0.0000000,0.2327898,0.2354581,0.0026114
target 14,,,,-0.1138141,0.0641337,0.0455733
target 16,,,,-0.0368667,-0.1920648,0.0508960
target 22,,,,0.2633756,0.0609915,0.0043632
target 23,,,,-0.0051747,0.2353273,0.0023378
