# CoordinateSystem: LOCAL_CS["Local Coordinates (m)",LOCAL_DATUM["Local Datum",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]]]
#Label,X,Y,Z,X_est,Y_est,Z_est
target 1,-0.2500000,0.2500000,0.0000000,-0.2364191,0.2426854,0.0014654
target 4,,,,-0.0049913,-0.2370268,-0.0000371
target 9,,,,-0.2700384,-0.0584031,0.0070440
target 10,-0.2500000,-0.2500000,0.0000000,-0.2268216,-0.2409943,-0.0015164
target 11,0.2500000,-0.2500000,0.0000000,0.2285180,-0.2388773,0.0015395
target 12,0.2500000,0.2500000,0.0000000,0.2347277,0.2371856,-0.0014887
target 13,,,,0.2651385,0.1927341,0.0030015
target 15,,,,-0.1200841,-0.0616106,0.0473816
target 17,,,,0.2621890,-0.0688304,0.0043409
target 18,,,,0.1881622,-0.0642076,0.0447126
target 19,,,,-0.1924286,0.1953519,0.0479926
target 20,,,,0.1138759,0.1910700,0.0518138
target 21,,,,-0.0376877,0.1937383,0.0541385
target 23,,,,-0.0056044,0.2399710,0.0021721
target 24,,,,0.0323391,-0.0641790,0.0449154
